src_A_mod64,src_l_mod4,dst_Aplus_mod64,dst_lplus_mod4,count,prob,src_total
0,3,14,1,3,0.01090909090909091,275
0,3,8,2,3,0.01090909090909091,275
0,3,40,2,2,0.007272727272727273,275
0,3,24,3,2,0.007272727272727273,275
0,3,36,1,2,0.007272727272727273,275
0,3,28,2,2,0.007272727272727273,275
0,3,4,0,2,0.007272727272727273,275
0,3,0,1,2,0.007272727272727273,275
0,3,6,2,2,0.007272727272727273,275
0,3,34,3,2,0.007272727272727273,275
0,3,50,0,2,0.007272727272727273,275
0,3,62,3,2,0.007272727272727273,275
0,3,44,1,2,0.007272727272727273,275
0,3,8,3,2,0.007272727272727273,275
0,3,10,0,2,0.007272727272727273,275
0,3,22,3,2,0.007272727272727273,275
0,3,32,3,2,0.007272727272727273,275
0,3,16,2,2,0.007272727272727273,275
0,3,10,1,2,0.007272727272727273,275
0,3,32,1,2,0.007272727272727273,275
0,3,48,3,2,0.007272727272727273,275
0,3,44,2,2,0.007272727272727273,275
0,3,32,0,2,0.007272727272727273,275
0,3,40,3,2,0.007272727272727273,275
0,3,56,2,2,0.007272727272727273,275
0,3,38,2,2,0.007272727272727273,275
0,3,44,3,2,0.007272727272727273,275
0,3,20,2,2,0.007272727272727273,275
0,3,8,0,2,0.007272727272727273,275
0,3,18,2,2,0.007272727272727273,275
0,3,8,1,2,0.007272727272727273,275
0,3,18,3,2,0.007272727272727273,275
0,3,24,2,2,0.007272727272727273,275
0,3,2,0,2,0.007272727272727273,275
0,3,52,3,2,0.007272727272727273,275
0,3,54,0,2,0.007272727272727273,275
0,3,54,3,2,0.007272727272727273,275
0,3,28,3,1,0.0036363636363636364,275
0,3,52,1,1,0.0036363636363636364,275
0,3,52,0,1,0.0036363636363636364,275
0,3,56,1,1,0.0036363636363636364,275
0,3,50,3,1,0.0036363636363636364,275
0,3,40,0,1,0.0036363636363636364,275
0,3,30,1,1,0.0036363636363636364,275
0,3,54,2,1,0.0036363636363636364,275
0,3,26,1,1,0.0036363636363636364,275
0,3,36,2,1,0.0036363636363636364,275
0,3,2,1,1,0.0036363636363636364,275
0,3,36,0,1,0.0036363636363636364,275
0,3,2,3,1,0.0036363636363636364,275
0,3,12,3,1,0.0036363636363636364,275
0,3,4,1,1,0.0036363636363636364,275
0,3,38,3,1,0.0036363636363636364,275
0,3,34,0,1,0.0036363636363636364,275
0,3,60,3,1,0.0036363636363636364,275
0,3,52,2,1,0.0036363636363636364,275
0,3,16,0,1,0.0036363636363636364,275
0,3,30,3,1,0.0036363636363636364,275
0,3,6,0,1,0.0036363636363636364,275
0,3,62,1,1,0.0036363636363636364,275
0,3,16,1,1,0.0036363636363636364,275
0,3,48,1,1,0.0036363636363636364,275
0,3,20,3,1,0.0036363636363636364,275
0,3,12,1,1,0.0036363636363636364,275
0,3,38,1,1,0.0036363636363636364,275
0,3,60,1,1,0.0036363636363636364,275
2,0,2,0,71,0.2526690391459075,281
2,0,18,0,70,0.2491103202846975,281
2,0,34,0,70,0.2491103202846975,281
2,0,50,0,70,0.2491103202846975,281
2,1,34,0,67,0.25475285171102663,263
2,1,50,0,66,0.2509505703422053,263
2,1,2,0,65,0.24714828897338403,263
2,1,18,0,65,0.24714828897338403,263
2,2,18,0,64,0.2570281124497992,249
2,2,34,0,62,0.24899598393574296,249
2,2,2,0,62,0.24899598393574296,249
2,2,50,0,61,0.24497991967871485,249
2,3,2,0,66,0.2509505703422053,263
2,3,18,0,66,0.2509505703422053,263
2,3,34,0,66,0.2509505703422053,263
2,3,50,0,65,0.24714828897338403,263
4,0,10,1,34,0.12734082397003746,267
4,0,42,1,34,0.12734082397003746,267
4,0,34,1,33,0.12359550561797752,267
4,0,58,1,33,0.12359550561797752,267
4,0,18,1,33,0.12359550561797752,267
4,0,2,1,33,0.12359550561797752,267
4,0,26,1,32,0.1198501872659176,267
4,0,50,1,32,0.1198501872659176,267
4,0,26,2,1,0.003745318352059925,267
4,0,50,0,1,0.003745318352059925,267
4,0,10,2,1,0.003745318352059925,267
4,1,58,1,34,0.12927756653992395,263
4,1,34,1,33,0.12547528517110265,263
4,1,18,1,33,0.12547528517110265,263
4,1,42,1,33,0.12547528517110265,263
4,1,2,1,33,0.12547528517110265,263
4,1,50,1,33,0.12547528517110265,263
4,1,10,1,33,0.12547528517110265,263
4,1,26,1,31,0.11787072243346007,263
4,2,2,1,35,0.1394422310756972,251
4,2,26,1,35,0.1394422310756972,251
4,2,42,1,33,0.13147410358565736,251
4,2,50,1,33,0.13147410358565736,251
4,2,18,1,30,0.11952191235059761,251
4,2,10,1,29,0.11553784860557768,251
4,2,58,1,28,0.11155378486055777,251
4,2,34,1,28,0.11155378486055777,251
4,3,26,1,34,0.12927756653992395,263
4,3,50,1,33,0.12547528517110265,263
4,3,34,1,33,0.12547528517110265,263
4,3,58,1,33,0.12547528517110265,263
